Year,Month,PrimaryType,Location Description,Arrest,Latitude,Longitude
G,A,C,H,0,41.78341148,-87.5947109
G,A,O,H,1,41.78134925,-87.59622314
G,D,M,G,0,41.96354553,-87.75700519
G,A,L,I,0,41.95028834,-87.64905406
G,A,L,H,1,41.80930523,-87.60655839
G,A,O,H,1,41.85638855,-87.72610626
G,A,L,H,0,41.86381905,-87.7080289
G,D,A,H,0,41.83991023,-87.71344714
G,A,L,H,0,41.75748231,-87.63716779
G,A,D,H,0,41.86158436,-87.72992637
G,A,O,C,0,41.87368566,-87.75482438
G,A,L,C,0,41.8979637,-87.73442152
G,A,A,H,0,42.01683965,-87.68433463
G,A,M,H,0,41.87449792,-87.71632951
G,A,A,J,0,41.8749748,-87.72547505
G,A,M,L,0,0,0
G,A,H,H,0,41.7623856,-87.6661775
G,A,L,G,0,0,0
G,A,A,H,0,41.88357839,-87.75640237
G,A,L,H,0,41.73024796,-87.66445489
G,A,L,K,0,41.80715782,-87.73213195
G,A,L,H,0,41.89349022,-87.63117518
G,D,H,H,1,41.78020097,-87.6046433
G,D,A,G,0,41.86294421,-87.70712699
G,A,A,I,0,0,0
G,A,D,H,0,0,0
G,A,M,H,0,41.84671646,-87.61858802
G,A,M,H,0,41.65636325,-87.54351373
G,A,A,G,0,41.76143456,-87.71496174
G,A,C,I,0,41.89325595,-87.62921645
G,A,A,H,0,41.83547438,-87.63890657
G,A,A,H,0,41.90742444,-87.67501453
G,A,M,H,0,41.91500581,-87.64719724
G,A,D,H,0,41.9167524,-87.67030021
G,A,L,I,0,0,0
G,A,B,C,0,41.67704019,-87.63706901
G,A,C,I,0,41.90399688,-87.64323024
G,A,A,H,0,41.89651312,-87.64000142
G,A,A,F,0,41.7642239,-87.58756708
G,D,A,L,0,41.89932778,-87.64853685
G,A,A,G,0,41.90980382,-87.64097444
G,A,M,H,0,41.77058731,-87.73474637
G,A,M,H,0,41.75673499,-87.56511746
G,A,M,H,0,41.83920987,-87.6389983
G,A,M,K,0,41.79209746,-87.79469724
G,D,L,M,0,41.86211777,-87.70303815
G,A,A,J,0,41.93670684,-87.72711644
G,A,D,H,0,41.87259001,-87.72133398
